componentSlug,componentName,componentId,fixturePath,fixtureName,uiSection,uiSubsection,uiLabel,structScope,fieldName,usdType,authoredValue,componentPath
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,AddMixGroup,,,AddMixGroup,component,gain,float,0,AudioMixGroups.MixGroup.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,AddMixGroup,,,AddMixGroup,component,mute,bool,0,AudioMixGroups.MixGroup.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,AddMixGroup,,,AddMixGroup,component,speed,float,1,AudioMixGroups.MixGroup.speed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSecondAudioSameGroup.usda,AssignSecondAudioSameGroup,,,AssignSecondAudioSameGroup,component,gain,float,0,AudioMixGroups.MixGroup.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSecondAudioSameGroup.usda,AssignSecondAudioSameGroup,,,AssignSecondAudioSameGroup,component,mute,bool,0,AudioMixGroups.MixGroup.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSecondAudioSameGroup.usda,AssignSecondAudioSameGroup,,,AssignSecondAudioSameGroup,component,speed,float,1,AudioMixGroups.MixGroup.speed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,AssignSingleAudio,,,AssignSingleAudio,component,gain,float,0,AudioMixGroups.MixGroup.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,AssignSingleAudio,,,AssignSingleAudio,component,mute,bool,0,AudioMixGroups.MixGroup.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,AssignSingleAudio,,,AssignSingleAudio,component,speed,float,1,AudioMixGroups.MixGroup.speed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,CreateSecondGroupAndAssign.usda,CreateSecondGroupAndAssign,,,CreateSecondGroupAndAssign,component,gain,float,0,AudioMixGroups.MixGroup.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,CreateSecondGroupAndAssign.usda,CreateSecondGroupAndAssign,,,CreateSecondGroupAndAssign,component,mute,bool,0,AudioMixGroups.MixGroup.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,CreateSecondGroupAndAssign.usda,CreateSecondGroupAndAssign,,,CreateSecondGroupAndAssign,component,speed,float,1,AudioMixGroups.MixGroup.speed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,CreateSecondGroupAndAssign.usda,CreateSecondGroupAndAssign,,,CreateSecondGroupAndAssign,component,gain,float,0,AudioMixGroups.MixGroup_2.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,CreateSecondGroupAndAssign.usda,CreateSecondGroupAndAssign,,,CreateSecondGroupAndAssign,component,mute,bool,0,AudioMixGroups.MixGroup_2.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,CreateSecondGroupAndAssign.usda,CreateSecondGroupAndAssign,,,CreateSecondGroupAndAssign,component,speed,float,1,AudioMixGroups.MixGroup_2.speed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Gain.usda,Gain,,,Gain,component,gain,float,-15.505303,AudioMixGroups.MixGroup.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Gain.usda,Gain,,,Gain,component,mute,bool,0,AudioMixGroups.MixGroup.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Gain.usda,Gain,,,Gain,component,speed,float,1,AudioMixGroups.MixGroup.speed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Mute.usda,Mute,,,Mute,component,gain,float,0,AudioMixGroups.MixGroup.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Mute.usda,Mute,,,Mute,component,mute,bool,1,AudioMixGroups.MixGroup.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Mute.usda,Mute,,,Mute,component,speed,float,1,AudioMixGroups.MixGroup.speed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Speed.usda,Speed,,,Speed,component,gain,float,0,AudioMixGroups.MixGroup.gain
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Speed.usda,Speed,,,Speed,component,mute,bool,0,AudioMixGroups.MixGroup.mute
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,Speed.usda,Speed,,,Speed,component,speed,float,2.4326851,AudioMixGroups.MixGroup.speed
