componentSlug,componentName,componentId,variant,variantNote,fieldName,fieldValue
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,BASE.usda,Inspector launcher only; no mix groups or routed files authored yet,MixGroup.gain,omitted
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,BASE.usda,Inspector launcher only; no mix groups or routed files authored yet,MixGroup.mute,omitted
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,BASE.usda,Inspector launcher only; no mix groups or routed files authored yet,MixGroup.speed,omitted
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,BASE.usda,Inspector launcher only; no mix groups or routed files authored yet,AudioFile.file,omitted
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,BASE.usda,Inspector launcher only; no mix groups or routed files authored yet,AudioFile.mixGroup,omitted
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,"Adds first RealityKitAudioMixGroup child with default gain, mute, and speed",MixGroup.gain,0
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,"Adds first RealityKitAudioMixGroup child with default gain, mute, and speed",MixGroup.mute,0
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,"Adds first RealityKitAudioMixGroup child with default gain, mute, and speed",MixGroup.speed,1
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,"Adds first RealityKitAudioMixGroup child with default gain, mute, and speed",AudioFile.file,omitted
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AddMixGroup.usda,"Adds first RealityKitAudioMixGroup child with default gain, mute, and speed",AudioFile.mixGroup,omitted
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,Creates one external RealityKitAudioFile prim and routes it to MixGroup,MixGroup.gain,0
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,Creates one external RealityKitAudioFile prim and routes it to MixGroup,MixGroup.mute,0
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,Creates one external RealityKitAudioFile prim and routes it to MixGroup,MixGroup.speed,1
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,Creates one external RealityKitAudioFile prim and routes it to MixGroup,AudioFile.file,@../1bells.wav@
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AssignSingleAudio.usda,Creates one external RealityKitAudioFile prim and routes it to MixGroup,AudioFile.mixGroup,</Root/Cube/AudioMixGroups/MixGroup>
