componentSlug,componentName,componentId,variant,variantNote,fieldName,fieldValue
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,BASE.usda,Baseline or equivalent state,group,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,BASE.usda,Baseline or equivalent state,extents,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,BASE.usda,Baseline or equivalent state,skinWidth,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,BASE.usda,Baseline or equivalent state,slopeLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,BASE.usda,Baseline or equivalent state,stepLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/BASE.usda,Baseline or equivalent state,group,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/BASE.usda,Baseline or equivalent state,extents,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/BASE.usda,Baseline or equivalent state,skinWidth,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/BASE.usda,Baseline or equivalent state,slopeLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/BASE.usda,Baseline or equivalent state,stepLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupAll.usda,1 field change,group,4294967295
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupAll.usda,1 field change,extents,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupAll.usda,1 field change,skinWidth,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupAll.usda,1 field change,slopeLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupAll.usda,1 field change,stepLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupDefault.usda,Baseline or equivalent state,group,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupDefault.usda,Baseline or equivalent state,extents,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupDefault.usda,Baseline or equivalent state,skinWidth,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupDefault.usda,Baseline or equivalent state,slopeLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/GroupDefault.usda,Baseline or equivalent state,stepLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/MaskAll.usda,Baseline or equivalent state,group,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/MaskAll.usda,Baseline or equivalent state,extents,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/MaskAll.usda,Baseline or equivalent state,skinWidth,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/MaskAll.usda,Baseline or equivalent state,slopeLimit,omitted
character-controller-component,CharacterControllerComponent,RealityKit.CharacterController,Collision Filter/MaskAll.usda,Baseline or equivalent state,stepLimit,omitted
