componentSlug,componentName,componentId,variant,variantNote,fieldName,fieldValue
collision-component,CollisionComponent,RealityKit.Collider,BASE.usda,Baseline or equivalent state,group,1
collision-component,CollisionComponent,RealityKit.Collider,BASE.usda,Baseline or equivalent state,mask,4294967295
collision-component,CollisionComponent,RealityKit.Collider,BASE.usda,Baseline or equivalent state,type,"""Default"""
collision-component,CollisionComponent,RealityKit.Collider,BASE.usda,Baseline or equivalent state,extent,"(0.2, 0.2, 0.2)"
collision-component,CollisionComponent,RealityKit.Collider,BASE.usda,Baseline or equivalent state,shapeType,"""Box"""
collision-component,CollisionComponent,RealityKit.Collider,BASE.usda,Baseline or equivalent state,height,omitted
collision-component,CollisionComponent,RealityKit.Collider,BASE.usda,Baseline or equivalent state,radius,omitted
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/All.usda,1 field change,group,4294967295
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/All.usda,1 field change,mask,4294967295
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/All.usda,1 field change,type,"""Default"""
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/All.usda,1 field change,extent,"(0.2, 0.2, 0.2)"
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/All.usda,1 field change,shapeType,"""Box"""
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/All.usda,1 field change,height,omitted
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/All.usda,1 field change,radius,omitted
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/Default.usda,Baseline or equivalent state,group,1
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/Default.usda,Baseline or equivalent state,mask,4294967295
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/Default.usda,Baseline or equivalent state,type,"""Default"""
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/Default.usda,Baseline or equivalent state,extent,"(0.2, 0.2, 0.2)"
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/Default.usda,Baseline or equivalent state,shapeType,"""Box"""
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/Default.usda,Baseline or equivalent state,height,omitted
collision-component,CollisionComponent,RealityKit.Collider,Filter/Group/Default.usda,Baseline or equivalent state,radius,omitted
collision-component,CollisionComponent,RealityKit.Collider,Filter/Mask/All.usda,Baseline or equivalent state,group,1
collision-component,CollisionComponent,RealityKit.Collider,Filter/Mask/All.usda,Baseline or equivalent state,mask,4294967295
