componentSlug,componentName,componentId,fixturePath,fixtureName,uiSection,uiSubsection,uiLabel,structScope,fieldName,usdType,authoredValue,componentPath
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,Color.usda,Color,,,Color,component,color,float3,"(1, 1, 0)",DirectionalLight.color
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,Intensity.usda,Intensity,,,Intensity,component,intensity,float,70000,DirectionalLight.intensity
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsCullingModeBack.usda,ShadowsCullingModeBack,,,ShadowsCullingModeBack,component,cullMode,token,"""Back""",DirectionalLight.Shadow.cullMode
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsCullingModeBack.usda,ShadowsCullingModeBack,,,ShadowsCullingModeBack,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsCullingModeDefault.usda,ShadowsCullingModeDefault,,,ShadowsCullingModeDefault,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsCullingModeFront.usda,ShadowsCullingModeFront,,,ShadowsCullingModeFront,component,cullMode,token,"""Front""",DirectionalLight.Shadow.cullMode
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsCullingModeFront.usda,ShadowsCullingModeFront,,,ShadowsCullingModeFront,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsCullingModeNone.usda,ShadowsCullingModeNone,,,ShadowsCullingModeNone,component,cullMode,token,"""None""",DirectionalLight.Shadow.cullMode
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsCullingModeNone.usda,ShadowsCullingModeNone,,,ShadowsCullingModeNone,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsDepthBias.usda,ShadowsDepthBias,,,ShadowsDepthBias,component,depthBias,float,2,DirectionalLight.Shadow.depthBias
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsDepthBias.usda,ShadowsDepthBias,,,ShadowsDepthBias,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsEnabled.usda,ShadowsEnabled,,,ShadowsEnabled,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsOrtographicScale.usda,ShadowsOrtographicScale,,,ShadowsOrtographicScale,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsOrtographicScale.usda,ShadowsOrtographicScale,,,ShadowsOrtographicScale,component,orthographicScale,float,2,DirectionalLight.Shadow.orthographicScale
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsOrtographicScale.usda,ShadowsOrtographicScale,,,ShadowsOrtographicScale,component,projectionType,token,"""Fixed""",DirectionalLight.Shadow.projectionType
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsProjectionTypeAutomatic.usda,ShadowsProjectionTypeAutomatic,,,ShadowsProjectionTypeAutomatic,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsProjectionTypeAutomatic.usda,ShadowsProjectionTypeAutomatic,,,ShadowsProjectionTypeAutomatic,component,projectionType,token,"""Automatic""",DirectionalLight.Shadow.projectionType
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsProjectionTypeFixed.usda,ShadowsProjectionTypeFixed,,,ShadowsProjectionTypeFixed,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsProjectionTypeFixed.usda,ShadowsProjectionTypeFixed,,,ShadowsProjectionTypeFixed,component,projectionType,token,"""Fixed""",DirectionalLight.Shadow.projectionType
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsZBounds.usda,ShadowsZBounds,,,ShadowsZBounds,component,isEnabled,bool,1,DirectionalLight.Shadow.isEnabled
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsZBounds.usda,ShadowsZBounds,,,ShadowsZBounds,component,projectionType,token,"""Fixed""",DirectionalLight.Shadow.projectionType
directional-light-component,DirectionalLightComponent,RealityKit.DirectionalLight,ShadowsZBounds.usda,ShadowsZBounds,,,ShadowsZBounds,component,zBounds,float2,"(0.02, 20)",DirectionalLight.Shadow.zBounds
