componentSlug,componentName,componentId,fieldName,fieldType,baseValue,variants,notes,risk,coverage
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,acceleration,float3,omitted,"(1, 1, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,animationRepeatMode,token,omitted,"""AutoReverse"", ""Looping"", ""PlayOnce""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,billboardMode,token,omitted,"""BillboardYAligned"", ""Billboard"", ""Free""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthDirection,token,omitted,"""Local"", ""Constant""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthLocation,token,omitted,"""Vertices"", ""Volume""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthRate,float,omitted,"30, 77",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,birthRateVariation,float,omitted,"15, 3",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,blendMode,token,omitted,"""Additive"", ""Opaque""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,burstCount,int64,omitted,42,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,burstCountVariation,int64,omitted,7,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,colorEvolutionPower,float,omitted,"3, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,columnCount,int64,omitted,"5, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,dampingFactor,float,omitted,"3, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,emissionDuration,double,omitted,2,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,emissionDurationVariation,double,omitted,0.5,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,emitterShape,token,omitted,"""Box"", ""Cone"", ""Cylinder""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,endColorA,float4,omitted,"(0.0013006331, 0.9246575, 1, 1), (0.0013006331, 0.032195132, 1, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,endColorB,float4,omitted,"(0.87537456, 0.092653036, 1, 1), (1, 1, 1, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,frameRate,float,omitted,"12, 7",Not authored in baseline fixture.,High,Observed
