componentSlug,componentName,componentId,fixturePath,fixtureName,uiSection,uiSubsection,uiLabel,structScope,fieldName,usdType,authoredValue,componentPath
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Color Evolution Power.usda,Color Evolution Power,Particles,Color,Color Evolution Power,mainEmitter,colorEvolutionPower,float,3,VFXEmitter.currentState.mainEmitter.colorEvolutionPower
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color (color).usda,End Color (color),Particles,Color,End Color (color),mainEmitter,endColorA,float4,"(0.0013006331, 0.9246575, 1, 1)",VFXEmitter.currentState.mainEmitter.endColorA
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color (color).usda,End Color (color),Particles,Color,End Color (color),mainEmitter,useEndColor,bool,1,VFXEmitter.currentState.mainEmitter.useEndColor
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color (color).usda,End Color (color),Particles,Color,End Color (color),mainEmitter,useEndColorRange,bool,0,VFXEmitter.currentState.mainEmitter.useEndColorRange
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color (range).usda,End Color (range),Particles,Color,End Color (range),mainEmitter,endColorA,float4,"(0.0013006331, 0.9246575, 1, 1)",VFXEmitter.currentState.mainEmitter.endColorA
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color (range).usda,End Color (range),Particles,Color,End Color (range),mainEmitter,endColorB,float4,"(0.87537456, 0.092653036, 1, 1)",VFXEmitter.currentState.mainEmitter.endColorB
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color (range).usda,End Color (range),Particles,Color,End Color (range),mainEmitter,useEndColor,bool,1,VFXEmitter.currentState.mainEmitter.useEndColor
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color (range).usda,End Color (range),Particles,Color,End Color (range),mainEmitter,useEndColorRange,bool,1,VFXEmitter.currentState.mainEmitter.useEndColorRange
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color OFF.usda,End Color OFF,Particles,Color,End Color OFF,mainEmitter,endColorA,float4,"(0.0013006331, 0.032195132, 1, 1)",VFXEmitter.currentState.mainEmitter.endColorA
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color OFF.usda,End Color OFF,Particles,Color,End Color OFF,mainEmitter,useEndColor,bool,0,VFXEmitter.currentState.mainEmitter.useEndColor
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/End Color OFF.usda,End Color OFF,Particles,Color,End Color OFF,mainEmitter,useEndColorRange,bool,0,VFXEmitter.currentState.mainEmitter.useEndColorRange
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Opacity Over Life Mode/Constant.usda,Constant,Particles,Color / Opacity Over Life Mode,Constant,mainEmitter,opacityOverLife,token,"""Constant""",VFXEmitter.currentState.mainEmitter.opacityOverLife
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Opacity Over Life Mode/Ease Fade In.usda,Ease Fade In,Particles,Color / Opacity Over Life Mode,Ease Fade In,mainEmitter,opacityOverLife,token,"""EaseFadeIn""",VFXEmitter.currentState.mainEmitter.opacityOverLife
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Opacity Over Life Mode/Ease Fade Out.usda,Ease Fade Out,Particles,Color / Opacity Over Life Mode,Ease Fade Out,mainEmitter,opacityOverLife,token,"""EaseFadeOut""",VFXEmitter.currentState.mainEmitter.opacityOverLife
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Opacity Over Life Mode/Gradual Fade In Out.usda,Gradual Fade In Out,Particles,Color / Opacity Over Life Mode,Gradual Fade In Out,mainEmitter,opacityOverLife,token,"""GradualFadeInOut""",VFXEmitter.currentState.mainEmitter.opacityOverLife
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Opacity Over Life Mode/Linear Fade In.usda,Linear Fade In,Particles,Color / Opacity Over Life Mode,Linear Fade In,mainEmitter,opacityOverLife,token,"""LinearFadeIn""",VFXEmitter.currentState.mainEmitter.opacityOverLife
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Opacity Over Life Mode/Linear Fade Out.usda,Linear Fade Out,Particles,Color / Opacity Over Life Mode,Linear Fade Out,mainEmitter,opacityOverLife,token,"""LinearFadeOut""",VFXEmitter.currentState.mainEmitter.opacityOverLife
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Opacity Over Life Mode/Quick Fade In Out.usda,Quick Fade In Out,Particles,Color / Opacity Over Life Mode,Quick Fade In Out,mainEmitter,opacityOverLife,token,"""QuickFadeInOut""",VFXEmitter.currentState.mainEmitter.opacityOverLife
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Start Color (color).usda,Start Color (color),Particles,Color,Start Color (color),mainEmitter,startColorA,float4,"(1, 0.046666723, 0.37124115, 1)",VFXEmitter.currentState.mainEmitter.startColorA
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Start Color (color).usda,Start Color (color),Particles,Color,Start Color (color),mainEmitter,startColorB,float4,"(1, 1, 1, 1)",VFXEmitter.currentState.mainEmitter.startColorB
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Start Color (color).usda,Start Color (color),Particles,Color,Start Color (color),mainEmitter,useStartColorRange,bool,0,VFXEmitter.currentState.mainEmitter.useStartColorRange
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Start Color (range).usda,Start Color (range),Particles,Color,Start Color (range),mainEmitter,startColorA,float4,"(1, 0.046666723, 0.37124115, 1)",VFXEmitter.currentState.mainEmitter.startColorA
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Start Color (range).usda,Start Color (range),Particles,Color,Start Color (range),mainEmitter,startColorB,float4,"(0.44521102, 0.67951274, 0.99998397, 1)",VFXEmitter.currentState.mainEmitter.startColorB
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,Particles/Color/Start Color (range).usda,Start Color (range),Particles,Color,Start Color (range),mainEmitter,useStartColorRange,bool,1,VFXEmitter.currentState.mainEmitter.useStartColorRange
