componentSlug,componentName,componentId,fixturePath,fixtureName,uiSection,uiSubsection,uiLabel,structScope,fieldName,usdType,authoredValue,componentPath
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,Affected by Gravity,,,Affected by Gravity,component,gravityEnabled,bool,0,RigidBody.gravityEnabled
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,Affected by Gravity,,,Affected by Gravity,component,m_mass,float,1,RigidBody.massFrame.m_mass
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,angularDamping,float,0.1,RigidBody.angularDamping
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,gravityEnabled,bool,0,RigidBody.gravityEnabled
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,isCCDEnabled,bool,1,RigidBody.isCCDEnabled
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,linearDamping,float,0.04,RigidBody.linearDamping
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,lockRotationX,bool,1,RigidBody.lockRotationX
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,lockRotationY,bool,1,RigidBody.lockRotationY
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,lockRotationZ,bool,1,RigidBody.lockRotationZ
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,lockTranslationX,bool,1,RigidBody.lockTranslationX
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,lockTranslationY,bool,1,RigidBody.lockTranslationY
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,lockTranslationZ,bool,1,RigidBody.lockTranslationZ
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,motionType,token,"""Kinematic""",RigidBody.motionType
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,ALL,,,ALL,component,m_inertia,float3,"(0.2, 0.2, 0.2)",RigidBody.massFrame.m_inertia
