componentSlug,componentName,componentId,variant,variantNote,fieldName,fieldValue
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,gravityEnabled,0
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,m_mass,1
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,angularDamping,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,isCCDEnabled,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,linearDamping,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,lockRotationX,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,lockRotationY,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,lockRotationZ,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,lockTranslationX,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,lockTranslationY,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,lockTranslationZ,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,motionType,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,m_inertia,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,orientation,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,position,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,dynamicFriction,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,restitution,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,Affected by Gravity.usda,1 field change,staticFriction,omitted
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,gravityEnabled,0
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,m_mass,2
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,angularDamping,0.1
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,isCCDEnabled,1
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,linearDamping,0.04
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,lockRotationX,1
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,lockRotationY,1
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,lockRotationZ,1
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,lockTranslationX,1
physics-body-component,PhysicsBodyComponent,RealityKit.RigidBody,ALL.usda,18 field changes,lockTranslationY,1
