componentSlug,componentName,componentId,variant,variantNote,fieldName,fieldValue
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,attenuationFalloffExponent,4
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,attenuationRadius,10
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,color,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,innerAngle,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,intensity,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,outerAngle,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,depthBias,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,isEnabled,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,cullMode,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,zFar,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Falloff.usda,2 field changes,zNear,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,attenuationFalloffExponent,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,attenuationRadius,20
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,color,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,innerAngle,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,intensity,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,outerAngle,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,depthBias,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,isEnabled,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,cullMode,omitted
spot-light-component,SpotLightComponent,RealityKit.SpotLight,Attenuation Radius.usda,1 field change,zFar,omitted
