componentSlug,componentName,componentId,fixturePath,fixtureName,uiSection,uiSubsection,uiLabel,structScope,fieldName,usdType,authoredValue,componentPath
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,BASE.usda,BASE,,,BASE,component,blendMode,token,"""single""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Environment Resource.usda,Environment Resource,,,Environment Resource,component,blendMode,token,"""single""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Environment Resource.usda,Environment Resource,,,Environment Resource,component,ibl,asset,@../RenderCrate-HDRI_Orbital_40_4K.hdr@,VirtualEnvironmentProbe.Resource1.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Intensity Exponent.usda,Intensity Exponent,,,Intensity Exponent,component,blendMode,token,"""single""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Intensity Exponent.usda,Intensity Exponent,,,Intensity Exponent,component,intensityExponent,float,5.511979,VirtualEnvironmentProbe.Resource1.intensityExponent
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All Custom Blend.usda,Mode Blend All Custom Blend,,,Mode Blend All Custom Blend,component,blendMode,token,"""blend""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All Custom Blend.usda,Mode Blend All Custom Blend,,,Mode Blend All Custom Blend,component,ibl,asset,@../RenderCrate-HDRI_Orbital_40_4K.hdr@,VirtualEnvironmentProbe.Resource1.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All Custom Blend.usda,Mode Blend All Custom Blend,,,Mode Blend All Custom Blend,component,relativeWeight,float,0.7195486,VirtualEnvironmentProbe.Resource1.relativeWeight
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All Custom Blend.usda,Mode Blend All Custom Blend,,,Mode Blend All Custom Blend,component,ibl,asset,@../cayley_lookout_2k.hdr@,VirtualEnvironmentProbe.Resource2.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All Custom Blend.usda,Mode Blend All Custom Blend,,,Mode Blend All Custom Blend,component,relativeWeight,float,0.2804514,VirtualEnvironmentProbe.Resource2.relativeWeight
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All.usda,Mode Blend All,,,Mode Blend All,component,blendMode,token,"""blend""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All.usda,Mode Blend All,,,Mode Blend All,component,ibl,asset,@../RenderCrate-HDRI_Orbital_40_4K.hdr@,VirtualEnvironmentProbe.Resource1.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend All.usda,Mode Blend All,,,Mode Blend All,component,ibl,asset,@../cayley_lookout_2k.hdr@,VirtualEnvironmentProbe.Resource2.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend One.usda,Mode Blend One,,,Mode Blend One,component,blendMode,token,"""blend""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend One.usda,Mode Blend One,,,Mode Blend One,component,ibl,asset,@../RenderCrate-HDRI_Orbital_40_4K.hdr@,VirtualEnvironmentProbe.Resource1.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend Two Intensity Exponent.usda,Mode Blend Two Intensity Exponent,,,Mode Blend Two Intensity Exponent,component,blendMode,token,"""blend""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend Two Intensity Exponent.usda,Mode Blend Two Intensity Exponent,,,Mode Blend Two Intensity Exponent,component,ibl,asset,@../RenderCrate-HDRI_Orbital_40_4K.hdr@,VirtualEnvironmentProbe.Resource1.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend Two Intensity Exponent.usda,Mode Blend Two Intensity Exponent,,,Mode Blend Two Intensity Exponent,component,ibl,asset,@../cayley_lookout_2k.hdr@,VirtualEnvironmentProbe.Resource2.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend Two Intensity Exponent.usda,Mode Blend Two Intensity Exponent,,,Mode Blend Two Intensity Exponent,component,intensityExponent,float,8.561459,VirtualEnvironmentProbe.Resource2.intensityExponent
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend Two.usda,Mode Blend Two,,,Mode Blend Two,component,blendMode,token,"""blend""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend Two.usda,Mode Blend Two,,,Mode Blend Two,component,ibl,asset,@../RenderCrate-HDRI_Orbital_40_4K.hdr@,VirtualEnvironmentProbe.Resource1.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend Two.usda,Mode Blend Two,,,Mode Blend Two,component,ibl,asset,@../cayley_lookout_2k.hdr@,VirtualEnvironmentProbe.Resource2.ibl
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Blend.usda,Mode Blend,,,Mode Blend,component,blendMode,token,"""blend""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode None.usda,Mode None,,,Mode None,component,blendMode,token,"""none""",VirtualEnvironmentProbe.blendMode
virtual-environment-probe-component,VirtualEnvironmentProbeComponent,RealityKit.VirtualEnvironmentProbe,Mode Single.usda,Mode Single,,,Mode Single,component,blendMode,token,"""single""",VirtualEnvironmentProbe.blendMode
