componentSlug,componentName,componentId,fieldName,fieldType,baseValue,variants,notes,risk,coverage
accessibility-component,AccessibilityComponent,RealityKit.Accessibility,isEnabled,bool,0,1,,Low,Observed
accessibility-component,AccessibilityComponent,RealityKit.Accessibility,label,string,"""""","""Custom Label"", ""Some Label""",,Low,Observed
accessibility-component,AccessibilityComponent,RealityKit.Accessibility,value,string,"""""","""This component makes my entity accessible "", ""Some Value""",,Low,Observed
ambient-audio-component,AmbientAudioComponent,RealityKit.AmbientAudio,gain,float,0,-35.13125,,Low,Observed
anchoring-component,AnchoringComponent,RealityKit.Anchoring,transform,matrix4d,omitted,"( (0.969846248626709, 0.17101003229618073, -0.1736481487751007, 0), (-0.14131446182727814, 0.9750823378562927, 0.17101003229618073, 0), (0.19856569170951843, -0.14131446182727814, 0.969846248626709, 0), (0, 0, 0, 1) ), ( (1, 0, 0, 0), (0, 1, 0, 0), (0, 0, 1, 0), (0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 1) ), ( (2, 0, 0, 0), (0, 2, 0, 0), (0, 0, 2, 0), (0, 0, 0, 1) )",Not authored in baseline fixture.,Low,Observed
anchoring-component,AnchoringComponent,RealityKit.Anchoring,type,token,omitted,"""Hand"", ""Head"", ""Object""",Not authored in baseline fixture.,Low,Observed
audio-library-component,AudioLibraryComponent,RealityKit.AudioLibrary,keys,string[],omitted,"[""1bells.wav""]",Not authored in baseline fixture.,Low,Observed
audio-library-component,AudioLibraryComponent,RealityKit.AudioLibrary,values,rel,omitted,</Root/_1bells_wav>,Not authored in baseline fixture.,Low,Observed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,MixGroup.gain,float,omitted,"0, -15.505303",Authored on child RealityKitAudioMixGroup prims after a mix group exists.,Medium,Observed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,MixGroup.mute,bool,omitted,"0, 1",Authored on child RealityKitAudioMixGroup prims after a mix group exists.,Medium,Observed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,MixGroup.speed,float,omitted,"1, 2.4326851",Authored on child RealityKitAudioMixGroup prims after a mix group exists.,Medium,Observed
audio-mix-groups-component,AudioMixGroupsComponent,RealityKit.AudioMixGroups,AudioFile.file,asset,omitted,"@../1bells.wav@, @../MUI POP UP Bubbly.wav@","Authored on external RealityKitAudioFile prims, not on the component prim.",Medium,Observed
